codpais,idprovincia,iae,descripcion
ESP,48,146220,"MADERAS CHAPADAS, CONTRACHAPADAS Y TABLEROS CELULARES"
ESP,48,146230,TABLEROS Y PANELES DE FIBRAS Y DE PARTICULAS
ESP,48,146240,MADERAS MEJORADAS
ESP,48,146300,"FABRICACION EN SERIE PIEZAS CARPINTERIA, PARQUET Y ESTRUCT.MADERA PARA CONSTR."
ESP,48,146400,FABRICACION DE ENVASES Y EMBALAJES DE MADERA
ESP,48,146500,FABRICACION DE OBJETOS DIVERSOS DE MADERA (EXCEPTO MUEBLES)
ESP,48,146600,FABRICACION DE PRODUCTOS DE CORCHO
ESP,48,146700,"FABRICACION ARTIC.JUNCO Y CAÑA, CESTERIA, BROCHAS, CEPILLOS,ETC.(EXCEP.MUEBLE)"
ESP,48,146810,FABRICACION DE MOBILIARIO DE MADERA PARA EL HOGAR
ESP,48,146820,FABRICACION DE MOLIBIARIO DE MADERA ESCOLAR Y DE OFICINA
ESP,48,146830,"FABRICACION DE MUEBLES DIVERSOS DE MADERA, JUNCO, MIMBRE Y CAÑA"
ESP,48,146840,FABRICACION DE ATAUDES
ESP,48,146850,"ACTIVIDADES ANEXAS A LA INDUSTRIA DEL MUEBLE (ACABADO,BARNIZADO,TAPIZADO,ETC.)"
ESP,48,147100,FABRICACION DE PASTA PAPELERA
ESP,48,147200,FABRICACION DE PAPEL Y CARTON
ESP,48,147310,FABRICACION DE CARTON ONDULADO Y ARTICULOS DE CARTON ONDULADO
ESP,48,147320,FABRICACION DE OTROS ARTICULOS DE ENVASE Y EMBALAJE EN PAPEL Y CARTON
ESP,48,147330,"FABRICACION DE ARTICULOS DE OFICINA, ESCRITORIO, ETC., DE PAPEL Y CARTON"
